Id;Statut
Abraham, abbe de Maroilles;3
Adam d'Oberchicourt;7
Adam de Hordain, senechal;6
Adam de Quinci;7
Adam de Walincourt;6
Adam, chanoine;2
Adam, chanoine SA Namur;2
Adam, fils d'Adam de Hordain;6
Adam, fils d'Ermengarde;7
Adam, senechal;6
Agnes 2, chanoinesse;2
Agnes de Gommegnies;6
Agnes fille d'Ermengarde;7
Agnes, chanoinesse;2
Agnes, epouse d'Arnoul d'Ecaillon;7
Alaman de Prouvy;6
Alaman, fils de Guillaume l'Oncle;2
Alard d'Antoing;7
Alard de Chimay;6
Alard de Croisilles;6
Alard de Gommegnies;6
Alard de Potelle;7
Alard de Roisin;7
Alard de Strepy;7
Alard de Viula;7
Alard Macherel;7
Alard, chanoine;2
Alard, eveque de Cambrai;1
Alice 2, chanoinesse;2
Alice 3, chanoinesse;2
Alice, chanoinesse;2
Alulfus de Gommegnies;6
Amand d'Avesnes;6
Amand le Roux;7
Amand, chambrier;6
Amand, senechal;6
Amaury de Coucy;6
Amaury, chantre;2
Amaury, noble;6
Anchin;4
Anculfus, chanoine;2
Andre Colet;7
Andre, maire;7
Anselme de Bellaing;7
Anselme de Famars;7
Anselme de Forest;6
Anselme de Lambres;7
Anselme, fils d'Ermengarde;7
Antoine, doyen;3
Antoine, prevot;3
Arnold de Walhelanc;7
Arnoul Careta;7
Arnoul d'Ecaillon;7
Arnoul de Gouy;7
Arnoul de Harelbeke, diacre;2
Arnoul de Huldenberg;6
Arnoul de Landas;6
Arnoul de Menen;7
Arnoul, chapelain;2
Aubert le Comte;7
Aulne;4
Avesnes-les-Bapaume;4
Aymeries, prieure;4
Barthelemy, abbe de S.-Denis B.;3
Barthelemy, pretre de Haspres;2
Baudouin d'Ecuelin;7
Baudouin d'Escaudain;7
Baudouin d'Haversque;6
Baudouin de Bailleul;6
Baudouin de Becquerel;7
Baudouin de Dasnoy;7
Baudouin de Gommegnies;6
Baudouin de Hondschote;6
Baudouin de Knesslera;7
Baudouin de Mons, chatelain;6
Baudouin de Ripa;7
Baudouin de Saint-Remy-Chaussee;7
Baudouin de Strepy;6
Baudouin de Villa;7
Baudouin le Probe;7
Baudouin Panier;7
Baudouin V;5
Baudouin VI;5
Baudouin, abbe de Cambron;3
Baudouin, abbe de Crespin;3
Baudouin, clerc;2
Baudouin, coutre de Soignies;2
Baudouin, villicus de Crespin;7
Baudry de Warez;7
Baudry de Wasmuel;7
Beatrice de Boussoit;6
Beatrice de Frasnes;6
Beatrice de Hon, chanoinesse;2
Bernard de Rocq;7
Bernard de Roucourt;7
Bernard de Vaverella;7
Berta, chanoinesse;2
Berte, chanoinesse;2
Boniface de Cerfontaine;7
Bonne-esperance;4
Brice, chanoine;2
Cambron;4
Cesaire de Noville;7
Charles de Frasnes;6
Charles de Hainechuel;7
Charles de Wasmuel;7
Charles, fils de Louis de Frasnes;6
Clarembaud de Atrive;6
Clarembaud, abbe d'Hautmont;3
Clarisse, chanoinesse;2
Clemence, chanoinesse;2
Commanderie du Pieton;4
Conon, ministerialis;6
Conrad, dapifer imperial;6
Crespin;4
Cristiana, chanoinesse;2
Damien de Vinea;7
Daniel, abbe de Cambron;3
Deiamicus, echevin;7
Drogon de Leval;7
Drogon, chanoine;2
Durand, chanoine;2
Eilbert d'Aix;7
Eilbert de Comis;7
Eilbert de Gommegnies;6
Eilbert de Grand-Reng;7
Eilbert, fils d'Eilbert;7
Elisabet, chanoinesse;2
Elisabeth d'Anderlues;6
Elisabeth d'Aubechies, chanoinesse;2
Elisabeth du quesnoy, chanoinesse;2
Elisabeth, doyenne;3
Elyas, chanoine;2
Emma, abbesse de Maubeuge;3
Englebert d'Enghien;6
Englebert de Steenkerque;7
Englebert, echevin;7
Enguerrand d'Iwuy;7
Ermengard,  epouse d'Alulfe de Werchain;7
Ermengarde, veuve;7
Ernald de S.-Symphorien;7
Esutache de Longovado;7
Etienne de Aptra;7
Etienne de Bruille;7
Etienne de Denain;7
Etienne de Petra;7
Etienne, avoue d'Anchin;7
Etienne, avoue de Marchiennes;7
Etienne, chanoine;2
Etienne, frere de Rainier;7
Etienne, prevot;7
Eustache de Berges;7
Eustache de Lens;6
Eustache Ier du Roeulx;6
Eustache II du Roeulx;6
Eustache Le Wede;7
Eustache, chanoine;2
Evrard III Radou, chatelain de Tournai;6
Fagla, chanoinesse;2
Flandrina, chanoinesse;2
Floreffe;4
Foigny;4
Foulques d'Artre;7
Foulques de Famars;7
Foulques de Fontaines;7
Foulques de Semeriees;7
Foulques de Vendegies;7
Foulques, chanoine;2
Francon, chanoine SA Namur;2
Francon, official de Cambrai;2
Frederic I empereur;5
Frederic, dux;5
