Id	Statut
AB Anchin	3
AB Aulne	3
AB Cambron	3
AB Crespin	3
AB Floreffe	3
AB Hautmont	3
AB Le Roeulx	3
AB Lobbes	3
AB Marchiennes	3
AB Maroilles	3
AB Maubeuge	3
AB Munster	3
AB S.-Amand	3
AB S.-Aubert Cambrai	3
AB S.-Ghislain	3
AB S.-Vaast	3
AB SDBroqueroie	3
AB SJB Valenciennes	3
Aix	7
Albi	7
Amaury, noble	7
Anchin	4
Anderlues	7
Aniche	6
Antoing	6
Anvaingt	7
Anzin	7
Aptra	7
Artres	7
Atrive	6
Aubert le Comte	7
Aulne	4
Aulnoye	6
Autreppe	6
Avesnes	6
Avesnes-les-Bapaume	4
Avoues Marchiennes	6
Aymeries, prieure	4
Azincourt	7
Bailleul	6
Bailli Hainaut	6
Barbençon	6
Bavin	7
Beauraing	7
becquerel	7
Bellaing	7
Berges	7
Berlaimont	6
Bermerain	7
Beuvrages	7
Bierbais	7
Blandain	7
Blicquy	6
Bonne-esperance	4
Bonnier	7
Bordeaus	7
Bousies	6
Boussoit	6
Braia	7
Brugelette	6
Bruille	6
CA Bruges	2
CA Douai	2
CA Maubeuge	2
CA ND Cambrai	2
CA ND Conde	2
CA Reims	2
CA S.-Germain Mons	2
CA SA Namur	2
CA SG Cambrai	2
CA SV Soignies	2
CA SW Mons	2
Cambron	4
Careta	7
Carnieres	6
Cerfontaine	7
Chatelain Beaumont	6
Chatelain Binche	6
Chatelain Gand	6
Chatelain Mons	6
Chaumont	6
Chaveal	7
Chimay	6
CO Deutz	5
CO Looz	5
Colet	7
Comis	7
Commanderie du Pieton	4
Comtes de Flandre	5
Comtes de Hainaut	5
Comtes de Louvain	5
Comtes de Namur	5
Conde	6
Cornut	6
Coucy	6
Cousolre	7
Crespin	4
Creton	6
Croisilles	6
Croix	6
CS Lille	6
CS Tournai	6
CU Gautier	2
CU Gerard	2
CU gobert	2
CU Haspres	2
Daruen	7
Dasnoy	7
De Foro	7
Deiamicus, echevin	7
Denain	6
DO Bavay	2
DO Bruges	3
DO Cambrai	3
DO Lille	3
DO SA Namur	3
DO SG Cambrai	3
DO SG Mons	3
DO Soignies	3
DO Solesmes	3
DO Valenciennes	3
Dolci	7
DU Suève	5
Ecaillon	6
Ecuelin	6
Empereur	5
Enghien	6
Englebert, echevin	7
EP Arras	1
EP Bamberg	1
EP Cambrai	1
Epinoit	6
Ermengarde, veuve	7
Escaudain	6
Famars	6
Floreffe	4
Foigny	4
Fontaines	6
Forest	6
Frameries	7
Frasnes	6
Gages	6
Gand, ville	7
Gautier, echevin	7
Gavere	6
Genden	7
Gerard, echevin de Strepy	7
Geslin	7
Gibech	7
Gilbert, villicus	7
Gilles, fils d'Heribrand	7
Gommegnies	6
Gonela	7
Gontran, pretre	2
Gouy	6
Grand-Reng	7
Guillaume le Grand	7
Guillaume Lyduin	7
Guillaume, maire	7
Guillaume, ministerialis	7
Hacin	7
Hainechuel	7
Ham	6
Harduin, echevin	7
Harmignies	7
Harvengt	6
Hasnon	4
Haspres	7
Haspres, village	7
Haussy	6
Hautmont	4
Haverec, laic	7
Havesquerque	6
Havree	6
Hellvinus, maire	7
Helvinus Le Summier	7
Henri, villicus	7
Heroaldus, villicus	7
Honnecourt	6
Honorat, bourgeois de Mons	7
Honschote	6
Hordain	6
Houdain	6
Howe	7
Hugues de Hasnon	7
Hugues, notaire	2
Huldenberg	6
Ide, fille d'Havidis	7
