Id;Statut
Amaury de Gouy;6
Anselme II de Ribemont;6
Anselme, archidiacre;3
Burchard, abbe de Saint-Basle;3
Eglise d'Arras;4
Eglise de Cambrai;4
Eglise de Laon;4
Eglise de Liège;4
Eglise de Reims;4
Eglise de Soissons;4
Elites du Cateau;7
Elites urbaines;7
Erlebold, coûtre;2
Foulques, vidame;6
Gaucher, eveque;1
Gerard II, eveque;1
Godefroid de Ribemont;6
Godefroid Ier, comte;5
Gossuin d'Oisy;6
Helinand, eveque de Laon;1
Henri IV, empereur;5
Henri V, empereur;5
Hugues Ier d'Oisy, chatelain;6
Lambert, eveque;1
Manasses de Rumilly;6
Manasses II, archeveque;1
Manasses, eveque;1
Mazelin, prevot;3
Odon, eveque;1
Otbert, eveque;1
Pascal II, pape;1
Rainier, senechal;6
Raoul II, abbe de Tours;3
Renaud, archeveque;1
Robert II, comte de Flandre;5
Tournai, abbaye Saint-Martin;4
Urbain II, pape;1
