Source;Target;Date_de_debut;Date_de_fin;Type_de_lien;Source_Info
Manasses II, archeveque;Manasses, eveque;1092;1106;Alliance;GC 12
Gaucher, eveque;Henri IV, empereur;1097;1097;Alliance;GC 13
Elites urbaines;Manasses, eveque;1097;1097;Alliance;GC 13
Godefroid Ier, comte;Henri IV, empereur;1102;1102;Alliance;GC 17
Otbert, eveque;Henri IV, empereur;1102;1102;Alliance;GC 17
Godefroid Ier, comte;Gaucher, eveque;1102;1102;Alliance;GC 17
Otbert, eveque;Gaucher, eveque;1102;1102;Alliance;GC 17
Otbert, eveque;Godefroid Ier, comte;1102;1102;Alliance;GC 17
Elites urbaines;Gaucher, eveque;1102;1102;Alliance;GC 17
Godefroid de Ribemont;Elites urbaines;1103;1103;Alliance;GC 26
Hugues Ier d'Oisy, chatelain;Elites urbaines;1103;1103;Alliance;GC 26
Hugues Ier d'Oisy, chatelain;Godefroid de Ribemont;1103;1103;Alliance;GC 26
Elites du Cateau;Gaucher, eveque;1103;1103;Alliance;GC 27
Anselme, archidiacre;Gaucher, eveque;1103;1103;Alliance;GC 29
Otbert, eveque;Gaucher, eveque;1106;1106;Alliance;GC 30
Henri V, empereur;Otbert, eveque;1106;1106;Alliance;GC 30
Henri V, empereur;Gaucher, eveque;1105;1107;Alliance;GC 30
Robert II, comte de Flandre;Odon, eveque;1105;1112;Alliance;GC 30
Manasses II, archeveque;Odon, eveque;1105;1106;Alliance;GC 30
Mazelin, prevot;Erlebold, coûtre;1092;1092;Conflit;GC Prologue
Henri IV, empereur;Manasses, eveque;1093;1093;Conflit;GC 2
Foulques, vidame;Eglise de Cambrai;1093;1093;Conflit;GC 2
Anselme II de Ribemont;Eglise de Cambrai;1093;1093;Conflit;GC 2
Rainier, senechal;Eglise de Cambrai;1093;1093;Conflit;GC 2
Amaury de Gouy;Eglise de Cambrai;1093;1093;Conflit;GC 2
Manasses de Rumilly;Eglise de Cambrai;1093;1093;Conflit;GC 2
Hugues Ier d'Oisy, chatelain;Eglise de Cambrai;1093;1093;Conflit;GC 2
Eglise de Cambrai;Eglise d'Arras;1093;1112;Conflit;GC 3
Lambert, eveque;Gaucher, eveque;1093;1107;Conflit;GC 3
Eglise d'Arras;Gaucher, eveque;1093;1107;Conflit;GC 3
Anselme II de Ribemont;Gaucher, eveque;1093;1093;Conflit;GC 7
Hugues Ier d'Oisy, chatelain;Gaucher, eveque;1093;1093;Conflit;GC 7
Amaury de Gouy;Gaucher, eveque;1093;1093;Conflit;GC 7
Manasses de Rumilly;Gaucher, eveque;1093;1093;Conflit;GC 7
Robert II, comte de Flandre;Gaucher, eveque;1093;1093;Conflit;GC 7
Urbain II, pape;Gaucher, eveque;1095;1099;Conflit;GC 10
Manasses II, archeveque;Gaucher, eveque;1092;1106;Conflit;GC 12
Gossuin d'Oisy;Gaucher, eveque;1096;1106;Conflit;GC 12
Elites urbaines;Gaucher, eveque;1097;1097;Conflit;GC 13
Robert II, comte de Flandre;Henri IV, empereur;1102;1102;Conflit;GC 17
Robert II, comte de Flandre;Gaucher, eveque;1102;1102;Conflit;GC 17
Godefroid Ier, comte;Robert II, comte de Flandre;1102;1102;Conflit;GC 17
Otbert, eveque;Robert II, comte de Flandre;1102;1102;Conflit;GC 17
Elites urbaines;Gaucher, eveque;1102;1102;Conflit;GC 17
Elites urbaines;Robert II, comte de Flandre;1102;1102;Conflit;GC 17
Manasses II, archeveque;Gaucher, eveque;1102;1102;Conflit;GC 24
Godefroid de Ribemont;Gaucher, eveque;1103;1103;Conflit;GC 27
Anselme, archidiacre;Manasses II, archeveque;1103;1103;Conflit;GC 29
Odon, eveque;Gaucher, eveque;1105;1112;Conflit;GC 30
Elites urbaines;Gaucher, eveque;1106;1107;Conflit;GC 30
Henri V, empereur;Elites urbaines;1107;1107;Conflit;GC 30
Pascal II, pape;Gaucher, eveque;1107;1112;Conflit;GC 30
Renaud, archeveque;Robert II, comte de Flandre;1095;1095;Transaction;GC 9
Urbain II, pape;Robert II, comte de Flandre;1095;1095;Transaction;GC 9
Gerard II, eveque;Eglise de Cambrai;1090;1092;Appartenance institutionnelle;GC Prologue
Erlebold, coûtre;Eglise de Cambrai;1092;1092;Appartenance institutionnelle;GC Prologue
Mazelin, prevot;Eglise de Cambrai;1092;1092;Appartenance institutionnelle;GC Prologue
Manasses, eveque;Eglise de Reims;1092;1093;Appartenance institutionnelle;GC 2
Manasses, eveque;Eglise de Cambrai;1093;1102;Appartenance institutionnelle;GC 2
Rainier, senechal;Anselme II de Ribemont;1093;1093;Appartenance institutionnelle;GC 2
Lambert, eveque;Eglise d'Arras;1093;1112;Appartenance institutionnelle;GC 3
Renaud, archeveque;Eglise de Reims;1093;1096;Appartenance institutionnelle;GC 3
Gaucher, eveque;Eglise de Cambrai;1093;1107;Appartenance institutionnelle;GC 3
Helinand, eveque de Laon;Eglise de Laon;1092;1095;Appartenance institutionnelle;GC 8
Manasses II, archeveque;Eglise de Reims;1096;1106;Appartenance institutionnelle;GC 12
Otbert, eveque;Eglise de Liège;1092;1112;Appartenance institutionnelle;GC 18
Manasses, eveque;Eglise de Soissons;1103;1108;Appartenance institutionnelle;GC 27
Anselme, archidiacre;Eglise de Cambrai;1103;1103;Appartenance institutionnelle;GC 29
Odon, eveque;Eglise de Cambrai;1105;1112;Appartenance institutionnelle;GC 30
Odon, eveque;Tournai, abbaye Saint-Martin;1095;1103;Appartenance institutionnelle;GC 30
Manasses II, archeveque;Manasses, eveque;1092;1106;Parente;GC 12
Gossuin d'Oisy;Gaucher, eveque;1096;1106;Parente;GC 12
Godefroid de Ribemont;Anselme II de Ribemont;1092;1098;Parente;GC 26
Henri V, empereur;Henri IV, empereur;1091;1106;Parente;GC 30
Eglise de Cambrai;Manasses, eveque;1093;1102;Alliance;GC 2
Elites urbaines;Manasses, eveque;1093;1093;Alliance;GC 2
Eglise de Cambrai;Mazelin, prevot;1093;1093;Alliance;GC 2
Robert II, comte de Flandre;Hugues Ier d'Oisy, chatelain;1093;1093;Alliance;GC 2
Hugues Ier d'Oisy, chatelain;Foulques, vidame;1093;1093;Alliance;GC 2
Hugues Ier d'Oisy, chatelain;Anselme II de Ribemont;1093;1093;Alliance;GC 2
Hugues Ier d'Oisy, chatelain;Rainier, senechal;1093;1093;Alliance;GC 2
Hugues Ier d'Oisy, chatelain;Amaury de Gouy;1093;1093;Alliance;GC 2
Hugues Ier d'Oisy, chatelain;Manasses de Rumilly;1093;1093;Alliance;GC 2
Henri IV, empereur;Gaucher, eveque;1093;1105;Alliance;GC 3
Urbain II, pape;Lambert, eveque;1093;1099;Alliance;GC 5
Foulques, vidame;Gaucher, eveque;1093;1093;Alliance;GC 5
Robert II, comte de Flandre;Anselme II de Ribemont;1093;1093;Alliance;GC 7
Robert II, comte de Flandre;Amaury de Gouy;1093;1094;Alliance;GC 7
Robert II, comte de Flandre;Manasses de Rumilly;1093;1093;Alliance;GC 7
Urbain II, pape;Gaucher, eveque;1093;1093;Alliance;GC 7
Renaud, archeveque;Gaucher, eveque;1095;1095;Alliance;GC 7
Raoul II, abbe de Tours;Gaucher, eveque;1095;1095;Alliance;GC 8
Burchard, abbe de Saint-Basle;Gaucher, eveque;1095;1095;Alliance;GC 8
Helinand, eveque de Laon;Gaucher, eveque;1095;1095;Alliance;GC 8
Urbain II, pape;Raoul II, abbe de Tours;1095;1095;Alliance;GC 8
Urbain II, pape;Burchard, abbe de Saint-Basle;1095;1095;Alliance;GC 8
Urbain II, pape;Manasses, eveque;1095;1102;Alliance;GC 10
Foulques, vidame;Manasses, eveque;1095;1095;Alliance;GC 11
Amaury de Gouy;Manasses, eveque;1095;1095;Alliance;GC 11
Elites urbaines;Manasses, eveque;1095;1095;Alliance;GC 11
Manasses II, archeveque;Odon, eveque;1103;1106;Alliance;GC 30
Eglise de Cambrai;Odon, eveque;1103;1103;Alliance;GC 30
Pascal II, pape;Odon, eveque;1107;1112;Alliance;GC 30
