Source	Target	Date_de_debut	Date_de_fin	Type_de_lien	Source_Info
Alaman de Prouvy	Baudouin V	1176	1176	Souscription	DiBe 2796
Arnoul de Landas	Baudouin V	1176	1176	Souscription	DiBe 2796
Baudouin V	Cambron	1176	1176	Transaction	DiBe 2796
Baudouin V	Mathilde de Blicquy	1176	1176	Transaction	DiBe 2796
Baudouin V	Otton II de Blicquy	1176	1176	Transaction	DiBe 2796
Baudouin V	Siger de Blicquy	1176	1176	Transaction	DiBe 2796
Eustache Ier du Roeulx	Baudouin V	1176	1176	Souscription	DiBe 2796
Eustache II du Roeulx	Baudouin V	1176	1176	Souscription	DiBe 2796
Gautier de Fontaines	Baudouin V	1176	1176	Souscription	DiBe 2796
Gilbert, abbe S.-Jean Valenciennes	Baudouin V	1176	1176	Souscription	DiBe 2796
Gufrid de Thone	Baudouin V	1176	1176	Souscription	DiBe 2796
Hoelus de Quievrain	Baudouin V	1176	1176	Souscription	DiBe 2796
Mathilde de Blicquy	Otton II de Blicquy	1176	1176	Parent	DiBe 2796
Otton II de Blicquy	Cambron	1176	1176	Transaction	DiBe 2796
Siger de Blicquy	Otton II de Blicquy	1176	1176	Parent	DiBe 2796
Alaman de Prouvy	Baudouin V	1176	1176	Transaction	DiBe 3013
Baudouin de Mons, chatelain	Baudouin V	1176	1176	Transaction	DiBe 3013
Baudouin V	Vicoigne	1176	1176	Transaction	DiBe 3013
Charles de Frasnes	Baudouin V	1176	1176	Transaction	DiBe 3013
Eustache Ier du Roeulx	Baudouin V	1176	1176	Transaction	DiBe 3013
Eustache II du Roeulx	Baudouin V	1176	1176	Transaction	DiBe 3013
Hoelus de Quievrain	Baudouin V	1176	1176	Transaction	DiBe 3013
Honorat, bourgeois de Mons	Baudouin V	1176	1176	Transaction	DiBe 3013
Louis de Frasnes	Baudouin V	1176	1176	Transaction	DiBe 3013
Marguerite d'Alsace	Vicoigne	1176	1176	Transaction	DiBe 3013
Robert, bailli de Hainaut	Baudouin V	1176	1176	Transaction	DiBe 3013
Alaman de Prouvy	Baudouin V	1176	1176	Souscription	DiBe 12370
Baudouin de Mons, chatelain	Baudouin V	1176	1176	Souscription	DiBe 12370
