Source	Target	Date_de_debut	Date_de_fin	Type_de_lien	Source_Info
Comtes de Flandre	AB Cambron	1168	1168	Transaction	DiBe 2828
Comtes de Hainaut	AB Cambron	1177	1177	Transaction	Acte 103
Steenkerque	AB Cambron	1177	1177	Transaction	Acte 103
EP Cambrai	AB Cambron	1176	1176	Souscription	DiBe 2805
EP Cambrai	AB Cambron	1182	1182	Transaction	DiBe 2813
Lens	AB Cambron	1176	1176	Souscription	DiBe 2805
Lens	AB Cambron	1176	1176	Souscription	DiBe 2805
AB Aulne	AB Cambron	1177	1177	Transaction	Acte 103
AB SDBroqueroie	AB Cambron	1176	1176	Souscription	DiBe 2805
Gages	AB Cambron	1188	1188	Souscription	DiBe 2787
AB S.-Ghislain	AB Cambron	1176	1176	Souscription	DiBe 2805
Blicquy	AB Cambron	1176	1176	Souscription	DiBe 2805
EP Cambrai	Walincourt	1183	1183	Transaction	DiBe 10687
Trith	Walincourt	1180	1180	Souscription	DiBe 11579
S.-Aubert Cambrai	Walincourt	1183	1183	Transaction	DiBe 10687
Comtes de Hainaut	Comtes de Hainaut	1195	1195	Transaction	Acte 190
Gommegnies	Gommegnies	1189	1189	Transaction	DiBe 10649
Gommegnies	Gommegnies	1189	1189	Transaction	DiBe 10649
Gommegnies	Gommegnies	1189	1189	Transaction	DiBe 10649
EP Cambrai	Gommegnies	1189	1189	Transaction	DiBe 10649
EP Cambrai	Gommegnies	1189	1189	Transaction	DiBe 10649
Gommegnies	Gommegnies	1189	1189	Transaction	DiBe 10649
Quinci	Avesnes	1195	1195	Souscription	Acte 189
Comtes de Hainaut	Avesnes	1195	1195	Souscription	Acte 189
Vinea	Avesnes	1195	1195	Souscription	Acte 189
Prouvy	Avesnes	1195	1195	Souscription	Acte 189
Bruille	Avesnes	1195	1195	Transaction	Acte 189
Creton	Avesnes	1195	1195	Souscription	Acte 189
Thions	Avesnes	1195	1195	Souscription	Acte 189
Montigny	Avesnes	1195	1195	Souscription	Acte 189
Comtes de Hainaut	Amaury, noble	1187	1187	Transaction	Acte 134
AB Maubeuge	Anchin	1171	1171	TRansaction	DiBe 32823
AB Maubeuge	Anchin	1171	1171	Transaction	DiBe 32823
Avesnes	Anchin	1195	1195	Conflit	Acte 189
Ecaillon	Anchin	1184	1184	Transaction	Acte 128
Ecaillon	Anchin	1189	1189	Transaction	Acte 150
Ecaillon	Anchin	1189	1189	Transaction	Acte 150
Avoues Marchiennes	Anchin	1195	1195	Transaction	Acte 188
Comtes de Flandre	Anchin	1172	1172	Transaction	DiBe 8540
Comtes de Flandre	Anchin	1173	1173	Transaction	DiBe 7171
Comtes de Flandre	Anchin	1173	1173	Transaction	DiBe 8613
Comtes de Flandre	Anchin	1180	1180	Transaction	DiBe 8613
Comtes de Flandre	Anchin	1185	1185	Transaction	DiBe 7173
Comtes de Hainaut	Anchin	1174	1174	Transaction	Acte 95
Comtes de Hainaut	Anchin	1178	1178	Transaction	Acte 105
Comtes de Hainaut	Anchin	1178	1178	Transaction	Acte 106
Comtes de Hainaut	Anchin	1184	1184	Transaction	Acte 128
Comtes de Hainaut	Anchin	1186	1186	Transaction	Acte 133
Comtes de Hainaut	Anchin	1189	1189	Transaction	Acte 150
Comtes de Hainaut	Anchin	1189	1189	Transaction	Acte 150
Comtes de Hainaut	Anchin	1189	1189	Transaction	Acte 152
Comtes de Hainaut	Anchin	1195	1195	Transaction	Acte 188
Comtes de Hainaut	Anchin	1195	1195	Transaction	Acte 189
EP Cambrai	Anchin	1176	1176	Transaction	Dibe 10909
EP Cambrai	Anchin	1177	1177	Transaction	DiBe 10435
EP Cambrai	Anchin	1177	1177	Transaction	DiBe 3389
EP Arras	Anchin	1175	1175	Transaction	DiBe 7171
EP Arras	Anchin	1175	1175	Transaction	DiBe 7171
Ecaillon	Anchin	1189	1189	Transaction	Acte 150
Saint-Aubert	Anchin	1180	1180	Souscription	DiBe 8613
